,x,tag1,tag2,tag3,social,tools and model,code,noteworthy
1,Knowing whether my feature is desirable in the larger community,big picture,predicting acceptance,,1,,,
2,Solving the problem the right way with small pull requests.,self contained,,,,,1,
3,Understanding the existing codebase.,understanding code base,,,,,1,
4,,,,,,,,
5,,,,,,,,
6,See my previous answer.,,,,,,,
7,Making sure the contribution is actually wanted. (usually ask on irc for this),big picture,communication,,1,,,1
8,Sometimes it takes time to understand how existent unit cases work.,understanding code base,,,,,1,
9,,,,,,,,
10,getting to know the project,understanding code base,,,,,1,
11,,,,,,,,
12,,,,,,,,
13,"The code reviews are long and usually require a lot of changes. Sometimes, it can take several months to get a PR in.",code review,extra work,,1,,,
14,none,,,,,,,
15,"The owner of the repo doesn't ever respond to the pull request, and leaves it hanging open forever.",responsiveness,,,1,,,
16,,,,,,,,
17,,,,,,,,
18,Small projects where the maintainer is mostly inactive.,responsiveness,,,1,,,
19,,,,,,,,
20,,,,,,,,
21,"I didn't face that, but I know people scared to open pull requests because the fear of being refused.",fear of rejection,,,1,,,
22,,,,,,,,
23,Deciding when to call it ready vs. adding more to the same pull request.,self contained,,,,,1,
24,,,,,,,,
25,When the maintainer does not respond,responsiveness,,,1,,,
26,"git wise, none. Just the code has to be good.",code quality,,,,,1,
27,Waiting for repo owners response. I want to get feedback asap.,responsiveness,,,1,,,
28,"Only understanding a tiny portion of the codebase (specifically, the part where I'm making my change)",understanding code base,,,,,1,
29,learn the guidelines,project compliance,,,1,,,
30,,,,,,,,
31,"Clarifying intention of submission, convincing reviewer of validity of submission, resolving merge conflicts",explain rationale,communication,conflicts,1,1,,
32,Knowing guidelines to submit.,project compliance,,,1,,,
33,"It's not easy to see which ones have been updated most recently on the website, and seaching is a pain in the arse.",awareness,,,,1,,1
34,Getting reviews,responsiveness,code review,,1,,,
35,"getting things like test frameworks running locally, figuring out how to write a unit test in framework X (some of us mere mortals struggle with writing tests)",infrastructure setup,testing,,,1,,
36,managing conflicts with other open pull requests or ongoing development in other forks and feature branches,awareness,conflicts,,,1,,
37,,,,,,,,
38,,,,,,,,
39,"Some projects lack an active maintainer, so pull requests are ignored or take a lot of pushing before they're reviewed.",responsiveness,,,1,,,
