"","Which.of.the.following.best.describes.your.role.","Which.of.the.following.best.describes.your.role....Other..please.specify.","How.many.years.have.you.been.programming","How.many.years.have.you.worked.on.projects.that.are.developed.in.a.geographically.distributed.manner.","How.many.years.have.you.been.working.in.Open.Source.projects","You.work.for","Which..open.source..project.repository.are.you.mainly.contributing.pull.requests.to..e.g..rails.rails...Please.specify.only.one.and.answer.the.remaining.questions.with.this.repository.in.mind....Open.Ended.Response","Why.do.you.contribute.to.this.specific.repository....It.is.my.day.time.job","Why.do.you.contribute.to.this.specific.repository....I.use.this.project.as.part.my.own.projects","Why.do.you.contribute.to.this.specific.repository....I.am.personally.interested.in.the.technology.being.developed","Why.do.you.contribute.to.this.specific.repository....Coding.for.this.project.is.intellectually.stimulating","Why.do.you.contribute.to.this.specific.repository....I.contribute.to.this.project.to.sharpen.my.programming.skills","Why.do.you.contribute.to.this.specific.repository....I.contribute.to.this.project.to.enrich.my.Github.profile.CV","Why.do.you.contribute.to.this.specific.repository....I.like.to.devote.my.free.time.to.a.good.cause","Why.do.you.contribute.to.this.specific.repository....Other..please.specify.","How.many.pull.requests.did.you.submit.to.this.repo.in.the.last.month.","How.do.you.contribute.code.to.the.project....I.have.commit.access.and.commit..to.the.main.branch","How.do.you.contribute.code.to.the.project....I.have.commit.access.and.commit.to.other.branches","How.do.you.contribute.code.to.the.project....I.have.commit.access.and.contribute.through.branch.to.branch.pull.requests","How.do.you.contribute.code.to.the.project....I.only.contribute.to.the.project.through.pull.requests","How.do.you.contribute.code.to.the.project....Other..please.specify.","I.contribute.pull.requests.containing.exclusively...Source.code","I.contribute.pull.requests.containing.exclusively...Test.code","I.contribute.pull.requests.containing.exclusively...Documentation","I.contribute.pull.requests.containing.exclusively...Source.code...Test.code","I.contribute.pull.requests.containing.exclusively...Source.code...Documentation","I.contribute.pull.requests.containing.exclusively...Test.code...Documentation","I.contribute.pull.requests.containing.exclusively...Source.Code..Test.code.and.Documentation","Before.starting.to.work.on.a.pull.request..I...Communicate.my.changes.to.the.project.core.team","Before.starting.to.work.on.a.pull.request..I...Lookup.project.pull.request.guidelines","Before.starting.to.work.on.a.pull.request..I...Lookup.for.open.issues.related.to.my.changes","Before.starting.to.work.on.a.pull.request..I...Check.whether.similar.pull.requests.were.processed.recently","Before.starting.to.work.on.a.pull.request..I...Check.other.project.branches..or.forks..for.related.features","Before.starting.to.work.on.a.pull.request..I...Check.project.discussions..emails.forums.IRC..for.related.topics","Before.starting.to.work.on.a.pull.request..I...Get.assigned.some.work.by.my.project.leader","Before.starting.to.work.on.a.pull.request..I...Other..please.specify.","How.do.you.communicate.the.intended.changes.with.the.project.s.core.team.....Email","How.do.you.communicate.the.intended.changes.with.the.project.s.core.team.....Issue.tracking..I.open.an.issue.describing.the.problem.and.the.potential.fix","How.do.you.communicate.the.intended.changes.with.the.project.s.core.team.....Pull.request..I.open.a.minimal.pull.request.describing.the.problem.and.the.potential.fix","How.do.you.communicate.the.intended.changes.with.the.project.s.core.team.....IRC","How.do.you.communicate.the.intended.changes.with.the.project.s.core.team.....Twitter","How.do.you.communicate.the.intended.changes.with.the.project.s.core.team.....Skype.Hangouts.Other.form.of.synchronous.communication","How.do.you.communicate.the.intended.changes.with.the.project.s.core.team.....Face.to.face","How.do.you.communicate.the.intended.changes.with.the.project.s.core.team.....I.do.not.communicate.my.intended.changes","How.do.you.communicate.the.intended.changes.with.the.project.s.core.team.....Other..please.specify.","Did.you.look.up.for.the.project.s.pull.request.guidelines.at.least.once.","How.do.you.decide.on.the.contents.of.a.pull.request.","How.do.you.decide.on.the.contents.of.a.pull.request....Other..please.specify.","How.do.you.assess.the.quality.of.your.pull.request.before.submitting.it....Open.Ended.Response","When.I.am.ready.to.submit.a.pull.request..I...Format.it.according.to.project.guidelines","When.I.am.ready.to.submit.a.pull.request..I...Run.the.tests.against.it","When.I.am.ready.to.submit.a.pull.request..I...Check.whether.similar.pull.requests.were.processed.recently","When.I.am.ready.to.submit.a.pull.request..I...Check.other.project.branches..or.forks..for.features.related.to.my.pull.request","When.I.am.ready.to.submit.a.pull.request..I...Check.project.discussions.for.topics.related.to.it","When.I.am.ready.to.submit.a.pull.request..I...Other..please.specify.","X.From.hereon..questions.are.not.project.specific..How.do.the.following.factors.affect.your.decision.to.contribute.to.a.project....Existence.of.project.roadmap","X.From.hereon..questions.are.not.project.specific..How.do.the.following.factors.affect.your.decision.to.contribute.to.a.project....Existence.of.contributor.guidelines","X.From.hereon..questions.are.not.project.specific..How.do.the.following.factors.affect.your.decision.to.contribute.to.a.project....Existence.of.issue.tracking.system","X.From.hereon..questions.are.not.project.specific..How.do.the.following.factors.affect.your.decision.to.contribute.to.a.project....Existence.of.code.review.process","X.From.hereon..questions.are.not.project.specific..How.do.the.following.factors.affect.your.decision.to.contribute.to.a.project....Large.numbers.of.already.open.pull.requests","X.From.hereon..questions.are.not.project.specific..How.do.the.following.factors.affect.your.decision.to.contribute.to.a.project....Project.is.famous","X.From.hereon..questions.are.not.project.specific..How.do.the.following.factors.affect.your.decision.to.contribute.to.a.project....Project.is.very.active","What.could.projects.do.to.reduce.barriers.for.new.contributors....Open.Ended.Response","What.is.the.biggest.challenge..if.any..you.face.when.contributing.with.pull.requests....Open.Ended.Response","What.kind.of.tools.would.you.expect.research.to.provide.you.with.in.order.to.assist.you.with.contributing.pull.requests....Open.Ended.Response"
"1","Source code contributor","","7 - 10","1 - 2","< 1","The industry","spotify/luigi","","I use this project as part my own projects","","","","","","","Less than 5","","","","I only contribute to the project through pull requests","","Often","Never","Never","Always","Never","Never","Never","Never","Always","Always","Always","Always","Always","Never","","","","Pull request: I open a minimal pull request describing the problem and the potential fix","","","","","","","Yes, and I did find sufficient guidelines","I rebase interactively to clean up history before I do the pull request","","Own judgement","Often","Often","Never","Always","Always","","Positively","Positively","Positively","Positively","Positively","Positively","Positively","Better guidelines","Knowing whether my feature is desirable in the larger community","Don't really understand question"
"2","Source code contributor","","7 - 10","3 - 6","3 - 6","The industry","cpputest/cpputest","","I use this project as part my own projects","I am personally interested in the technology being developed","Coding for this project is intellectually stimulating","I contribute to this project to sharpen my programming skills","I contribute to this project to enrich my Github profile/CV","I like to devote my free time to a good cause","","Less than 5","","","","I only contribute to the project through pull requests","","Always","Often","Often","Often","Often","Often","Often","Always","Often","Often","Often","Never","Occasionally","Never","","","Issue tracking: I open an issue describing the problem and the potential fix","Pull request: I open a minimal pull request describing the problem and the potential fix","","","","","","","Yes, but there were no guidelines","I create topic branches for each new feature","","Code review by project owners","Always","Always","Occasionally","Never","Occasionally","","Does not affect me","Positively","Positively","Positively","Does not affect me","Positively","Positively","I didnt find any barrier on cpputest.","Solving the problem the right way with small pull requests.","I need to learn more about git."
"3","Source code contributor","","10+","7 - 10","7 - 10","The academia","mapserver/mapserver","It is my day time job","I use this project as part my own projects","","","","","","","Less than 5","","","","I only contribute to the project through pull requests","","Occasionally","Never","Occasionally","Occasionally","Never","Never","Never","Occasionally","Often","Always","Never","Never","Often","Never","","","Issue tracking: I open an issue describing the problem and the potential fix","Pull request: I open a minimal pull request describing the problem and the potential fix","","","","","","","Yes, and I did find sufficient guidelines","I create topic branches for each new feature","","I review it against coding guidelines and take advice from the project committer assigned to the issue.","Always","Often","Often","Never","Never","","Positively","Positively","Positively","Positively","Negatively","Positively","Positively","Have a github style pull request system backed up with online project contribution guidelines and expectations.","Understanding the existing codebase.","Testing and integration software and processes."
"4","Source code contributor","","10+","1 - 2","1 - 2","The industry","opencart-ce/opencart-ce","","I use this project as part my own projects","","","","","I like to devote my free time to a good cause","","Less than 5","I have commit access and commit  to the main branch","","","","","Always","Never","Occasionally","Never","Occasionally","Never","Never","Occasionally","Never","Often","Always","Occasionally","Often","Never","","Email","Issue tracking: I open an issue describing the problem and the potential fix","Pull request: I open a minimal pull request describing the problem and the potential fix","","","","","","","No","I create topic branches for each new feature","","A quick look at files changed","Always","Never","Always","Occasionally","Occasionally","","Positively","Positively","Positively","Positively","Does not affect me","Does not affect me","Does not affect me","","",""
"5","Project owner","","7 - 10","3 - 6","1 - 2","The industry","mikedeboer/jsDAV","","I use this project as part my own projects","I am personally interested in the technology being developed","","","","","","Less than 5","","","","I only contribute to the project through pull requests","","Always","Never","Occasionally","Occasionally","Never","Never","Never","Occasionally","Always","Always","Often","Often","Never","Never","","Email","","","","","","","","","Yes, and I did find sufficient guidelines","I create topic branches for each new feature","","manual testing","Occasionally","Often","Never","Never","Never","","Does not affect me","Positively","Positively","Positively","Does not affect me","Does not affect me","Does not affect me","","",""
"6","Documentation contributor","","1 - 2","1 - 2","1 - 2","The industry","ninja-ide/ninja-ide-documentation","","","I am personally interested in the technology being developed","Coding for this project is intellectually stimulating","I contribute to this project to sharpen my programming skills","","I like to devote my free time to a good cause","","Less than 5","I have commit access and commit  to the main branch","","","","","Occasionally","Occasionally","Often","Occasionally","Often","Occasionally","Occasionally","Occasionally","Occasionally","Often","Often","Occasionally","Often","Never","","Email","Issue tracking: I open an issue describing the problem and the potential fix","Pull request: I open a minimal pull request describing the problem and the potential fix","","","","","","","Yes, and I did find sufficient guidelines","I just submit whatever my current branch has","","I make the changes I think are necessary and then leave them alone for a couple of days. After that I review my changes again, and change them if necessary, before submitting the pull request.","Often","Often","Often","Often","Often","","Positively","Does not affect me","Positively","Does not affect me","Negatively","Does not affect me","Positively","Appreciate all contributions. There are numerous projects on Github where contributions aren't reviewed at all.","See my previous answer.","Nothing I can think of at this moment."
"7","Source code contributor","","7 - 10","1 - 2","1 - 2","The academia","MinecraftForge/MinecraftForge","","I use this project as part my own projects","","","I contribute to this project to sharpen my programming skills","","","","Less than 5","","","","I only contribute to the project through pull requests","","Often","Never","Never","Never","Often","Never","Never","Occasionally","Never","Always","Always","Occasionally","Always","Never","","","Issue tracking: I open an issue describing the problem and the potential fix","","IRC","","","","","","Yes, and I did find sufficient guidelines","I cherry pick commits to another branch and create a pull request from that","","I show it to others in my own branch (and test it obviously)","Always","Always","Always","Never","Often","","Does not affect me","Does not affect me","Does not affect me","Does not affect me","Does not affect me","Does not affect me","Does not affect me","The biggest barrier is understanding the code you're contributing to. If anything, enforcing readability and modularity standards in the code itself.","Making sure the contribution is actually wanted. (usually ask on irc for this)",""
"8","Source code contributor","","10+","3 - 6","3 - 6","The industry","droolsjbpm/drools","It is my day time job","","","","","","","","Less than 5","","","","I only contribute to the project through pull requests","","Occasionally","Occasionally","Never","Often","Never","Never","Never","Occasionally","Occasionally","Often","Never","Never","Often","Occasionally","","Email","Issue tracking: I open an issue describing the problem and the potential fix","Pull request: I open a minimal pull request describing the problem and the potential fix","IRC","","","","","","Yes, and I did find sufficient guidelines","I create topic branches for each new feature","","By unit test.","Always","Always","Never","Never","Never","","Positively","Positively","Positively","Does not affect me","Does not affect me","Does not affect me","Does not affect me","Guideline how/where to write unit cases.","Sometimes it takes time to understand how existent unit cases work.","A good git GUI tool. I'm still using command line git."
"9","Documentation contributor","","1 - 2","1 - 2","1 - 2","Open Source Software","jbosstools/jbosstools-documentation","It is my day time job","","","","","","","","Less than 5","","","I have commit access and contribute through branch-to-branch pull requests","","","Never","Never","Always","Never","Never","Never","Never","Occasionally","Never","Never","Never","Never","Occasionally","Never","I am the sole contributer to subdirs in this repo so determine the work to be done","","Issue tracking: I open an issue describing the problem and the potential fix","","","","","","I do not communicate my intended changes","","Yes, and I did find sufficient guidelines","I rebase interactively to clean up history before I do the pull request","","I access whether I have completed the required task relating to the PR completely","Always","Always","Never","Never","Never","","Positively","Positively","Positively","Does not affect me","Does not affect me","Does not affect me","Does not affect me","","",""
"10","Project owner","","10+","3 - 6","7 - 10","The academia","Tribler/dispersy","It is my day time job","","I am personally interested in the technology being developed","Coding for this project is intellectually stimulating","I contribute to this project to sharpen my programming skills","","","","5 to 10","I have commit access and commit  to the main branch","I have commit access and commit to other branches","I have commit access and contribute through branch-to-branch pull requests","","","Always","Occasionally","Occasionally","Often","Often","Never","Often","Always","Often","Often","Often","Often","Occasionally","Often","","Email","Issue tracking: I open an issue describing the problem and the potential fix","","IRC","","","Face to face","I do not communicate my intended changes","","No","Other (please specify)","I create topic branches for each new feature  I rebase interactively to clean up history before I do the pull request","I run unit tests and simulations/experiments before asking for the merge.","Often","Always","Never","Never","Never","","Does not affect me","Positively","Positively","Positively","Does not affect me","Does not affect me","Does not affect me","Reply to pull requests in a timely fashion.","getting to know the project","I haven't thought about it"
