,x,tag1,tag2,tag3
1,Better guidelines,guidelines,,
2,I didnt find any barrier on cpputest.,,,
3,Have a github style pull request system backed up with online project contribution guidelines and expectations.,guidelines,,
4,,,,
5,,,,
6,Appreciate all contributions. There are numerous projects on Github where contributions aren't reviewed at all.,compassionate,review process,
7,"The biggest barrier is understanding the code you're contributing to. If anything, enforcing readability and modularity standards in the code itself.",code quality,,
8,Guideline how/where to write unit cases.,guidelines,,
9,,,,
10,Reply to pull requests in a timely fashion.,responsiveness,,
11,,,,
12,To many non reviewed or refused PullRequests,availability,review process,minimize queue
13,,,,
14,none,,,
15,Include good guidelines on how to get started and how to get feedback on changes.,guidelines,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,Welcoming atmosphere. Contribution guidelines. Replying to pull requests promptly.,compassionate,guidelines,responsiveness
24,,,,
25,Be nice to people,compassionate,,
26,Activelly process pull request and deal with issues in the issue tracker,responsiveness,,
27,"They should mark the open issues with the level of difficulty, like these issues are easy and beginners can resolve them, these have intermediate level of difficulty.    Repo owner should be available on various channels to discuss and communicate.    Code should be well documented.",task list,availability,code quality
28,,,,
29,clear guidelines + tests + travis,guidelines,continuous integration,
30,,,,
31,Encourage them to contribute by accepting/reviewing pull requests,compassionate,,
32,Good documentation.  Responsive feedback from committers.,documentation,responsiveness,
33,"Provide clear guidelines on coding style, best way to contribute and best way to contact existing contributors. Preferably run tests (including coding style ones) automatically when a pull request is sent to save everyone's time.",guidelines,continuous integration,communication channels
34,More docs on contribution process,guidelines,,
35,,,,
36,"* clearly outline their submission process  * indicate good areas for new contributors to work on (this is very hard to keep up-to-date as it depends on what other members are currently working on, as well as which tasks have low entry requirements. i've never seen anyone do this well)  * provide a clear system for submission review and feedback  * respond to new contributions as quickly as possible.",guidelines,task list,responsiveness
37,Having good contribution guidelines and present project owners / maintainers ...,guidelines,,
38,Give detailed responses to PRs as to why it might not be accepted.,,,
39,,,,
40,"Simple, clear pages on their web site explaining what they want, their guidelines, and how to use GitHub/PR.",guidelines,,
41,,,,
42,help with writing tests and code formatting,compassionate,,
43,"Clear contribution guidelines, specifically relating to clear license language (and selecting an effective license); Review pull requests in a timely manner",guidelines,responsiveness,licensing
44,,,,
45,Document both the public API and the code itself  thoroughly.,documentation,,
46,,,,
47,,,,
48,Documentation,documentation,,
49,be active and keen,availability,compassionate,
50,Be friendly when receiving badly formatted Pull Requests.,compassionate,,
51,Have the different communication channels clearly described in the README.md file.,guidelines,,
52,"Create a short guide how to contribute, including small open tasks (LHF - low hanging fruits).",guidelines,task list,
53,,,,
54,"Contributor Guidelines, Readme how to setup for development",guidelines,,
55,Documentation can just about always be improved- it can be a bit intimidating to contribute to a project without confidence that you know exactly what is going on from the docs.,documentation,,
56,,,,
57,"Personally: get feedback on pull requests promptly,  or get feedback on pull requests at all   without requiring face-to-face meeting    In general:  Provide a wiki page, how to build the project and contribute guidelines (this is done by the Singular project)  -Organize workshops or tutorials for new contriburors.",responsiveness,guidelines,compassionate
58,"Provide helpful readmes, newbie-friendly contributor guidelines, thorough documentation, and possibly even tailor the project itself to new contributors (e.g. by basing it on very simple-to-learn languages).",documentation,guidelines,
59,"Easy navigation to ""how to get started,"" PR formatting/ style guides.",guidelines,,
60,more/better documentation,documentation,,
61,"Have clear project documentation, goals and guidelines.",documentation,roadmap,guidelines
62,"Good guidelines, step by step instructions for project and test set up.",guidelines,,
63,,,,
64,They could make clear and concise contribution guidelines and build processes.,guidelines,,
65,,,,
66,More advertisment about what is needed. More documentation,task list,documentation,
67,Welcome them better,compassionate,,
68,,,,
69,Clear Contribution Guidelines. Issue Tracking System,guidelines,,
70,"speed up releasing new version of project. Project is split into ""core"" and ""plugins"" and current ""stable"" core branch is more than 2 years old and it is frozen to features as well as to bug fixes.",architecture to fit contributions,,
71,,,,
72,Respond quickly to pull requests,responsiveness,,
73,"Maintain a ""positive"" culture; be friendly, polite etc",compassionate,,
74,Contributing guidelines. Clarity on setting up dev environment and running tests.,guidelines,development environment,
