,x,tag1,tag2,tag3
1,Own judgement,code review - self,,
2,Code review by project owners,code review - after,,
3,I review it against coding guidelines and take advice from the project committer assigned to the issue.,project compliance,advice,
4,A quick look at files changed,code review - self,,
5,manual testing,testing - manual,,
6,"I make the changes I think are necessary and then leave them alone for a couple of days. After that I review my changes again, and change them if necessary, before submitting the pull request.",code review - self,,
7,I show it to others in my own branch (and test it obviously),code review - self,testing,
8,By unit test.,testing,,
9,I access whether I have completed the required task relating to the PR completely,,,
10,I run unit tests and simulations/experiments before asking for the merge.,testing,testing - manual,
11,"Tests pass, or at least no more are failing if the test suite was already failing.    Sometimes run it by a colleague.",testing,,
12,By viewing the diff,code review - self,,
13,"Testing, and I run static checks (pep8, pyflakes)",testing,static analysis,
14,fair,,,
15,"I verify it works as intended, the code matches the existing style, and it contains only the minimal amount of code change necessary to implement the feature.",testing - manual,project compliance,self contained
16,I tested it,testing,,
17,"Passes tests, meets coding guidelines",testing,project compliance,
18,"Do tests pass, does the functionality work for me.",testing,testing - manual,
19,I test it,testing,,
20,local testing,testing,,
21,Re-reading the text,code review - self,,
22,Oen tests,testing,,
23,I do my own code review while committing and before submitting the pull request.,code review - self,,
24,"In order - Whether it passed automated tests, how much I trust the person, how much they have worked with us, reading the code.",testing,code review - self,
25,Reading the code and writing/running tests,code review - self,testing,
26,I test that it does what it says that it does,testing - manual,,
27,"I ask myself these questions,    1. Has it solved the issue?  2. Is the change documented?  3. Is the change easy to understand and follow?  4. Does the change follows coding conventions?",address issue,documentation,project compliance
28,Test against my use case and run regression tests,testing - manual,testing,
29,tests pass,testing,,
30,average,,,
31,"Unit tests, regression results from automation reports from continuous integration system.",testing,continuous integration,
32,"code review, unit tests, scenario tests",code review - self,testing,testing - manual
33,"Test the changes, take one final look at the entire diff.",testing,code review - self,
34,"Test suite, style lint, CI",testing,static analysis,continuous integration
35,"make sure there is a [detailed] story explaining what it is and why it should go in, style the code according to project owner preferences (as much as I can stomach ;-)), make sure test suite passes (assuming there is one), check CI (i.e. travis) gives a thumbs up.     in short: make the PR easy to accept, the bigger it is the more attention it needs ... I don't want to waste time by creating PRs that get rejected, the best way to do that is to make it really easy (technically and emotionally) for the maintainer to hit the merge button",makes sense,testing,project compliance
36,"visual code inspection, and direct testing.",code review - self,testing - manual,
37,"linting, CI",static analysis,testing,
38,"I ask myself, once I submit this request, can I still look myself in the mirror each morning?",self appreciation,,
39,I review it using Github's interface.,code review - self,,
40,By checking the diff to current remove master branch,code review - self,,
41,By following code conventions,project compliance,,
42,unittests,testing,,
43,tests / documentation coverage,testing,documentation,
44,Tests exist and are green.,testing,,
45,At first I review it manually. Also our repository is configured so that each PR gets automatically tested by both Travis CI (unit tests) and Scrutinizer (code quality tests).,code review - self,continuous integration,static analysis
46,experience,code review - self,,
47,By requesting reviews from my collegues. Each PR requires at least two +1's.,code review - self,,
48,I do it so it's good,,,
49,refactoring and passing CI,testing,continuous integration,
50,"I'm very unsure about this step, and it sucks.",self appreciation,,
51,I do a review of my own changes before asking for a review.,code review - self,,
52,"It should be focused of the feature to implement (or bug to fix). Nothing unrelated to the topic should be in there. Also there should be proper commit messages (title should be copy+pastable to a changelog, and the desc should describe what it does). Also, the code itself must comply to the projects idea of how code should look like.  I tweak my code to fulfil these points before I create a PR.",address issue,commit quality,
53,Make sure it passes the R CRAN check,testing,,
54,"Travis CI, Tests, validate against code style of rest of project",continuous integration,,
55,Another team member reviews each pull request before our leader does a quick review and does the pull into the trunk.,code review - peer,,
56,"As soon as I have something I want input on I submit it. A PR is the beginning of a discussion, not the end.",discussion,,
57,"I always write regression tests for the changes;  Sometimes if i'm in doubt about the quality, I ask my advisor for a code review before opening the pull request;  sometimes I ask the team to run the testsuite on the test server   (due to some build issues I cannot run all tests locally)",testing,code review - peer,testing - peer
58,"Depending on the type of pull request, I'll recompile the project's files to ensure my pull request doesn't introduce any issues, run my changes through validators, perform link crawls, etc.",building,validation scripts,
